facebook_corpus_msr_2379879,Comment kyu delete kiya us din?,NAG
facebook_corpus_msr_350006,कांग्रेस के नेताओं कान खोलकर सुन लो हमारे देश के सैनिक पर देश की सेना पर राजनीति तो मत करो कांग्रेस वालो सर्म करो,OAG
facebook_corpus_msr_1258215,#BreakingNews आईपीएल 9 : किंग्स 11 पंजाब ने पुणे सुपरजाएंट्स को 6 विकेट से हराया,NAG
facebook_corpus_msr_656070,Samru....apni bhn ko randi bnakr ...khus nii ho kya,NAG
facebook_corpus_msr_386732,Aur rahi baat nuksan pahuchane ka...... toh jan lo ki india ko sirf aur dirf in राजनैतिक नेताओ se hi nuksan ho raha h...,CAG
facebook_corpus_msr_1887269,Yahi to achche dinn hain ab jo sab desh bhakti ka certificate dete hain jaayen border per phir certificate distribute Karen desh bhakti ka.,CAG
facebook_corpus_msr_322810,poray india foojyoo kay gar waloo kee need modi nay haram kardee,OAG
facebook_corpus_msr_300572,Yr maro ya salo ko maro,OAG
facebook_corpus_msr_1724332,Kapill ki tarah iski bhi lagne wale hai,OAG
facebook_corpus_msr_606207,Es film k hit hone se kuch bollywood ke kutto ki gaand me aag lg rhi h...kyunki ye film puri trh hindu sanskriti pr bessd h n....,OAG
facebook_corpus_msr_1244829,"#एक_जरूरी_सूचना

यदि आप Job ढूंढ रहे है तो आईये हमारे साथ।
पहली बार भारत सरकार द्वारा मान्यता प्राप्त
100%रजिस्टर्ड कम्पनी में काम करने का मौका।वो
भी घर बैठे एंड्रॉयड मोबाइल के द्वारा।

घर बैठे online job करें
10,000 से 50,000 रूपये हर महीने कमाये वो भी
बिलकुल फ्री फ्री
काम करने के लिये आपके पास android mobile होना
जरुरी है
आपको क्या लगता है ? हम जूठ बोल रहे है करके देख
लीजिये लगता क्या है लगता तो सोचते अब सोचना
क्या |
⏩ आपका एक फैसला अपकी लाइफ बदल देगा।
⏩ जोइनिंग फ्री है।
⏩ प्राइवेट लिमिटेड कम्पनी।
⏩ कम्पनी भारत सरकार से मान्यता प्राप्त हैं।
⏩ कम्पनी एडवरटाइजिंग करवाती है।
⏩ कम्पनी के पास पैन कार्ड है।(आयकर भरती है
कम्पनी)
⏩ कम्पनी का हेड ऑफिस है।
⏩ 24×7 हेल्पलाइन सेवा उपलब्ध है।
⏩ आप जो पैसा कमायेगे उसे NEFT के द्वारा अपने
बैंक के खाते में ले सकते है।
⏩एक बार आजमाकर देखेगे तो झूठ और सच का फर्क
खुद देख लेगे आप।
तो जाने आप सब अपने ही android मोबाइल से
कैसे पैसे कमा सकते हो ?
1. सबसे पहले अपने फ़ोन के play store में जाओ |
2. वहाँ पर champ cash लिखो और उस apps को
अपने मोबाइल में instal कर लो !
3.अब apps पर click करो और sing up with champ
cash पर click करके अपनी डिटेल्स बर दो
4. अब आपसे sponser id पूछेगा वहाँ पर डाल 3020190
दो ...es number ko dyan se dalna(  3020190 es number ko kahi khali jgh not kar le )और अपनी id बना लो !
6.आपकी id नम्बर से आप अपने दोस्तों को join
कराआगे और उनका chalange कंप्लीट होते ही
आपको तुरन्त पैसा आएगा और इतना ही नही आपका
दोस्त भी अगर किसी को join करवाता है तो वहा
से भी आपको पैसा आएगा total 7 level तक आपको
पैसा आएगा.....",NAG
facebook_corpus_msr_1389850,मेगास्टार अमिताभ बच्चन का कहना है कि वह अपनी ‘पीकू’को-स्टार दीपिका पादुकोण के साथ फिर से काम करने को तैयार हैं...,NAG
facebook_corpus_msr_2179343,Main desperate nai hu na isiliye😀,NAG
facebook_corpus_msr_444036,Pareshan black money waley hain naam garibo ka lia ja raha hai !,NAG
facebook_corpus_msr_752891,इस विवाद पर बीसीसीआई की प्रतिक्रिया उस समय आई है जब क्रिकेट आस्ट्रेलिया ने स्मिथ के खिलाफ धोखाधड़ी के आरोपों को गलत करार दिया है.,NAG
facebook_corpus_msr_346619,"हिंदुत्व को बदनाम किये बिना भी फिल्म हिट हो सकती है। 
#बाहूबली2",CAG
facebook_corpus_msr_1033741,"जो कह रहे है कि नोटबंदी से 125 करोड़ भारतीयों को तकलीफ हो रही है,कृपया लिस्ट से मेरा नाम काट दे,मुझे कोई तकलीफ नही है ।।।।।।क्यों की मैं मोदी बीजेपी से हु और बीजेपी वालो के घर बैंक मैनेजर अमितजी शाह से डरते हुए होम डिलीवरी कर रहे है बाकी आम जनता जाये भाड़ में☺☺☺☺",OAG
facebook_corpus_msr_1724034,Sonu bhiya Jindabad jindabad,CAG
facebook_corpus_msr_2081802,Yeh bik chuki hai Indian express!,OAG
facebook_corpus_msr_408066,Itna dudh kisi gribo ko pila dete bo tumhe bahubali smjhta bhaiyo,NAG
facebook_corpus_msr_387286,Abe kab tak history me jiyega ab dekh modiji and yogiji kaise marte tumhari,CAG
facebook_corpus_msr_332600,Sala Bjp m kisi mckb ko achee se 4 line bolni Nahi aati english m waise ye India ko America banane chale 😂😂,OAG
facebook_corpus_msr_2379877,"Yaqub memon ke marne ke baad namaje janaja rakhne wale rohit vemula ke liye desh ke jawan ladke ladkiya laathi kha rae h,college ki padhai chorkar aandolan kar rae h..jab desh mai aatankwad ke liye ekta nahi h tab kese desh aage badhega....rohit ki maa ne dalit se shadi nahi ki thi isliye wo dalit bhi nahi tha......jab rahul gandhi ki maa christian h aur baap gandhi the fir rahul gandhi hindu honge ya christian????. Yuva logo se appeal h ki ye ISI walo ki chaal h jo tume galat raste le jaate h",CAG
facebook_corpus_msr_340908,Kaha gaya 56inch ka seena 5.6inch ka to nhi ho gaya kahi hud ho gayi,CAG
facebook_corpus_msr_382981,@amit kahe ki permition be? kashmir me kya nawaj shareef ki sarkar hai apki apni pdf to hai bjp ne ke hi thagbandhan se hsi,CAG
facebook_corpus_msr_671948,Modi Murdabad,OAG
facebook_corpus_msr_1723934,sahi bola,CAG
facebook_corpus_msr_1403646,Kutta kahi ka EK gareeb Kisaan Ka Katil khoni ha ya kezariwal,OAG
facebook_corpus_msr_1945525,Sahi baat bhai.,NAG
facebook_corpus_msr_221660,"आम आदमी पार्टी के लिए अच्छी बात ये है कि वो 'अन्य' से आगे चल रही है।
कल से केजरी रायता फैलाने का काम करेंगे??
#आप_साफ़",CAG
facebook_corpus_msr_387768,"########
समाजवादी माल खाकर
छोरी
मस्त हो गई थी 
-------- क्यों - अनुराग जी
#########",CAG
facebook_corpus_msr_1439824,feku jesa bilkul na ho,CAG
facebook_corpus_msr_359243,pahli bat ye kejriwal ki anshan ke vaqt ki photo rakhi he aur dusri bat chuav se pahle vo income tax officer tha bhukha nahi mar raha tha .thoda to socho kuch bhi.,NAG
facebook_corpus_msr_1277525,lalu ke bat per comment karna cow ka apman hai.,CAG
facebook_corpus_msr_221697,केजरी वाल शायद कल हिमाचल पर जा कर आन्दोलन कर सकते है 😫😫😠कयो यह कया हो रहा भोले नाथ ज़बान भी काली कर दी,CAG
facebook_corpus_msr_337531,पार्टी कैसे ज्योइन करते है राष्ट्र कवि जी ? 4 साल से आप का नाटक देख रहे है अब क्या चाहते हो ?,CAG
facebook_corpus_msr_386898,Jis din jantake sath ki hui evm chiting pakda gai  jantake jute ginneke like nahi rahoge,CAG
facebook_corpus_msr_399384,Oh Bhai !! Nawaz Shareef ko hatny du Pak Army India ki gand band kar daygi😅😅😅😅,OAG
facebook_corpus_msr_399208,Hmari aj tak ye news ni chali k indian army 250 m hmari territory ma ai..  Q k kisi k himmat ni any ki..  Aur apni news dekho..  Socho jo ek bar ghuss skty han wo bar bar b ghuss skty han,CAG
facebook_corpus_msr_337378,Isko to ussi waqat se bjp ka higya tha jab dekha ki kiran bedi rajyapal ban gai..,CAG
facebook_corpus_msr_1922886,अब अगर शर्म बची हो तो माफी भी मांग लेनी चाहिए,CAG
facebook_corpus_msr_1946994,"मौलाना साहब अगर हमारे साथ हवन पूजन करने को तैयार हैं
गंगाजल पिने को तैयार है
तो हम भी अजान के लिये तैयार है",CAG
facebook_corpus_msr_1095343,"katju sir only Indian jo such kehne ki himmat rakhte hai.  
Aajkal to desh droh kalam kisi par bhi lag sakti hai...",OAG
facebook_corpus_msr_360229,Ab dil ko thodi santi mili bc pr abhi ki kun grm hai inn madrchodo ko sari post udaa do,OAG
facebook_corpus_msr_350198,Bhaiyo abi taim ha jab 2019 ke cunab karib hogey tab modi dekawa kargey,CAG
facebook_corpus_msr_917611,"Peshey khidmat hai jumleybaaz sarkar ki taraf sey, lino mey khadi public key liye lottery ki digital  lolypop,  lijiye or 50 din sey chal rahey sarey ghum, takleef bhuljaiye,,,,,, ab public ka kaam hai ki 50 din bad key liye sarkar key sargana ki khwahish key mutabiq kon sa chauraha chunti hai,",OAG
facebook_corpus_msr_365413,BJP को 10 से ज्यादा सीटें नहीं मिल पाएगी,OAG
facebook_corpus_msr_418373,Icici focused bluechip mf me sip continue rakhu ya dusra sip start kru,NAG
facebook_corpus_msr_333010,NDTV हम जानते है आपकी खबर सिर्फ कुछ चुनिंदा लोगो के लिए होती है। ये तो एक और कुछ पार्टियों का चैनेल है। पाकिस्तान की न्यूज को हेड लाइन दिखने वाला चैनेल,CAG
facebook_corpus_msr_1947035,Is Chutiye Ko Kisne Moulaana Banaya,OAG
facebook_corpus_msr_349975,JAB TAK KOI LEADER K BETE YA FAMILE MEMBER KA SIR KATKE KOI LEKE NHI JATA TAB TAK YESA HI CHALENGA,OAG
facebook_corpus_msr_1521899,Ladai jhagde bjp aur Cpi mein..bechare janwaro ki jaan chali gayi 😑😓,CAG
facebook_corpus_msr_1261714,"जनता ने काम करने के लिए चुना है , पूजा करवाने के लिए नही !",CAG
facebook_corpus_msr_360208,Yeh der se uthaya bahaut achcha kadam hai iske liye hamareP.M.aur hamari sena badhai k patre hain aage bhi PakistN ko muhn tod jawab dena chahiye.Jai Hind.,CAG
facebook_corpus_msr_1735848,Tho yeah reason sarkar doodh maehangha karna chaathe,OAG
facebook_corpus_msr_671925,EK SHER JAB MARTA HAI TO ÇHŪ7,OAG
facebook_corpus_msr_1408424,"ऐसा क्या हुआ कि फ़्लाइट में फंसे रह गए भारतीय खिलाड़ी? #CWC2015

फोटो क्लिक करके पढ़ें...",NAG
facebook_corpus_msr_1176736,किसका हाथ है यह सबको  पता है यैसी घटना क्यों हो रही है साहब इसका उत्तर दीजिए,CAG
facebook_corpus_msr_1132618,#JustIn हरियाणा में आर्थिक रूप से पिछड़े लोगों के लिए 10% आरक्षण पर हाईकोर्ट ने रोक लगाई,NAG
